ID_SOLICITUD,FECHA_APERTURA,ID_CONTRATO,IMPAGO
3000000005556047,05/03/2019,29906000207593,0
3000000005811647,08/04/2019,29924000198353,0
3000000005819933,08/04/2019,29908000208979,1
3000000005814537,24/04/2019,29925000195229,0
3000000005815418,25/05/2019,29927000216371,0
3000000005817421,05/04/2019,29942000213434,0
3000000005813349,06/05/2019,29943000210519,0
3000000006059057,10/05/2019,29908000216877,0
3000000005561292,08/03/2019,29923000199464,0
3000000005821783,11/04/2019,29910000198936,0
3000000005812606,05/04/2019,29907000216503,0
3000000005818295,24/04/2019,29945000200498,0
3000000005816948,27/05/2019,29957000213885,0
3000000005814532,11/04/2019,29960000202555,1
3000000005816158,05/04/2019,29980000201862,0
3000000005810927,05/04/2019,29999000196274,0
3000000005556577,05/03/2019,29913000201521,1
3000000005557536,15/03/2019,29908000200531,0
3000000005557935,26/03/2019,29916000204524,0
3000000005559843,07/03/2019,29977000206185,0
3000000005811567,04/04/2019,29951000216679,1
3000000005812679,26/04/2019,29906000216151,1
3000000005815117,05/04/2019,29920000199761,0
3000000005820133,05/04/2019,29942000213533,0
3000000005812941,09/04/2019,29976000217042,0
3000000006061627,08/05/2019,29939000201818,0
3000000006062177,16/05/2019,29973000218725,0
3000000005558777,27/03/2019,29900000186990,0
3000000005555589,26/03/2019,29956000209562,0
3000000005556058,05/03/2019,29950000190070,0
3000000005812070,10/04/2019,29903000208913,1
3000000005816994,05/04/2019,29923000207571,1
3000000005820525,08/04/2019,29976000217372,0
3000000006061676,13/05/2019,29932000223070,0
3000000006057772,24/05/2019,29987000222597,0
3000000006062400,09/05/2019,29980000209265,0
3000000005558959,18/03/2019,29982000205569,0
3000000005556788,08/03/2019,29987000206658,0
3000000005559416,06/03/2019,29974000187067,0
3000000005559424,05/03/2019,29979000190642,0
3000000005555722,09/03/2019,29954000187848,1
3000000005819608,10/04/2019,29917000213852,0
3000000005812946,10/04/2019,29927000216228,0
3000000005821557,29/04/2019,29946000217438,0
3000000005557418,16/03/2019,29954000187903,0
3000000005818393,15/04/2019,29902000213269,0
3000000005819586,08/04/2019,29911000214028,1
3000000005821823,11/04/2019,29908000209045,0
3000000005813143,08/04/2019,29930000198980,0
3000000005812076,08/04/2019,29972000215117,1
3000000006059971,04/05/2019,29994000202720,0
3000000006058814,08/05/2019,29939000201774,0
3000000005554051,26/04/2019,29901000205349,0
3000000005557187,15/03/2019,29938000199244,0
3000000005560023,06/03/2019,29902000204645,0
3000000005557878,08/04/2019,29983000199849,1
3000000005556551,06/03/2019,29986000208704,0
3000000005558417,12/03/2019,29986000208759,0
3000000005559247,08/03/2019,29991000209793,0
3000000005811877,08/04/2019,29916000212862,0
3000000005819906,05/04/2019,29962000215689,0
3000000005818654,16/04/2019,29958000211938,0
3000000005821259,09/04/2019,29993000209518,0
3000000006059759,14/05/2019,29999000203578,0
3000000005560326,12/03/2019,29927000207857,0
3000000005558481,05/03/2019,29953000201950,0
3000000005814992,31/05/2019,29921000219209,0
3000000005819741,06/04/2019,29955000194899,0
3000000005812429,30/04/2019,29958000211663,1
3000000005817582,05/04/2019,29972000215293,1
3000000005815713,05/04/2019,29973000210871,0
3000000005558170,15/03/2019,29915000194041,0
3000000005560410,19/03/2019,29929000189113,0
3000000005559918,22/03/2019,29985000191830,1
3000000005555859,21/03/2019,29998000201455,0
3000000005812849,04/04/2019,29936000218428,0
3000000005815961,05/04/2019,29943000210607,0
3000000005814887,04/04/2019,29946000217196,0
3000000006058293,06/05/2019,29916000220969,0
3000000005556283,05/03/2019,29950000190092,0
3000000005561815,05/03/2019,29920000192831,0
3000000005557001,06/03/2019,29972000206713,0
3000000005555621,04/03/2019,29990000192919,0
3000000005817042,03/05/2019,29938000207703,0
3000000005818963,05/04/2019,29971000217900,0
3000000005814412,16/04/2019,29999000196329,0
3000000005555629,05/03/2019,29968000202247,0
3000000005814609,05/04/2019,29935000198991,1
3000000005817595,05/04/2019,29942000213445,0
3000000005813084,05/04/2019,29950000198518,1
3000000005812247,03/04/2019,29976000216987,0
3000000006058171,21/05/2019,29906000223554,0
3000000006046126,30/05/2019,29936000226315,0
3000000005558739,06/03/2019,29937000204414,0
3000000005560940,08/03/2019,29986000208913,0
3000000005557144,08/03/2019,29961000208198,0
3000000005555016,07/03/2019,29971000209606,0
3000000005810293,04/04/2019,29906000216085,0
3000000005816845,04/04/2019,29936000218538,0
3000000005819949,08/04/2019,29989000199959,1
3000000006061426,06/05/2019,29918000218989,0
3000000005555956,12/03/2019,29909000188739,0
3000000005556124,02/04/2019,29913000201488,0
3000000005555146,05/03/2019,29933000203259,0
3000000005559690,15/03/2019,29934000188937,0
3000000005555793,15/03/2019,29904000185406,1
3000000005557155,08/03/2019,29983000199827,1
3000000005561276,12/03/2019,29985000191918,0
3000000005560076,06/03/2019,29988000200113,1
3000000005558651,14/03/2019,29970000193535,0
3000000005814092,05/04/2019,29941000217196,0
3000000005816686,02/05/2019,29956000218208,0
3000000005817689,24/04/2019,29959000199013,0
3000000006058433,07/05/2019,29927000224181,0
3000000006061456,15/05/2019,29922000222443,0
3000000006062443,07/05/2019,29976000225303,0
3000000005561327,06/03/2019,29932000207285,0
3000000005559676,13/03/2019,29988000200091,1
3000000005817811,11/04/2019,29912000215029,1
3000000005817634,25/04/2019,29950000198617,0
3000000005557801,11/03/2019,29974000186968,0
3000000005555528,05/03/2019,29968000202236,0
3000000005814846,06/04/2019,29951000216866,0
3000000005815260,05/04/2019,29911000213852,0
3000000005816951,15/04/2019,29913000209694,0
3000000005814159,10/04/2019,29977000214655,1
3000000005813994,05/04/2019,29973000210805,0
3000000005821744,11/04/2019,29990000201004,0
3000000006058585,07/05/2019,29985000206801,0
3000000005557976,05/03/2019,29956000209694,0
3000000005561248,19/03/2019,29917000205393,1
3000000005557402,19/03/2019,29989000191302,0
3000000005556564,04/03/2019,29996000209892,0
3000000005816698,06/04/2019,29951000216965,0
3000000005817285,16/04/2019,29910000198716,0
3000000005815059,04/06/2019,29901000213489,0
3000000005814312,05/04/2019,29916000212939,1
3000000005813300,09/04/2019,29914000195471,0
3000000006060171,10/05/2019,29933000219484,0
3000000005554163,12/03/2019,29995000195328,0
3000000005555663,01/03/2019,29929000188904,0
3000000005815505,09/04/2019,29981000216811,0
3000000005818633,08/04/2019,29983000208176,0
3000000006060544,17/05/2019,29966000222542,0
3000000005557407,11/03/2019,29959000191379,0
3000000005554734,05/03/2019,29923000199189,1
3000000005556119,02/04/2019,29976000208825,0
3000000005554871,07/03/2019,29962000206768,0
3000000005560461,05/03/2019,29946000209320,0
3000000005814453,11/04/2019,29918000211234,1
3000000005815443,08/04/2019,29933000211718,0
3000000005815611,10/04/2019,29947000213885,1
3000000005818521,13/05/2019,29957000213918,0
3000000005821175,09/04/2019,29990000200982,0
3000000005816819,05/04/2019,29997000213016,0
3000000006061211,08/05/2019,29952000222311,0
3000000006059570,08/05/2019,29980000209166,0
3000000005556783,06/03/2019,29914000187606,1
3000000005556228,18/03/2019,29938000199211,0
3000000005560157,13/03/2019,29969000191720,0
3000000005813471,02/04/2019,29922000214292,0
3000000005817264,05/04/2019,29916000213038,1
3000000006062281,08/05/2019,29921000227019,0
3000000005555782,16/03/2019,29965000192050,0
3000000005557387,05/03/2019,29954000187892,0
3000000005559496,12/03/2019,29933000203512,0
3000000005558441,07/03/2019,29970000193491,0
3000000005561129,05/03/2019,29995000195504,0
3000000005821507,12/04/2019,29924000198650,0
3000000005814450,17/04/2019,29909000196384,0
,,,
,,,
,,,
,,,